page,element,x,y,width,height,asset
survival,top_cycle_time,0,0,720,62,
survival,top_status_bar,0,62,720,92,
survival,scene_panel,18,155,684,584,
survival,area_detail_button,546,178,128,42,
survival,continue_button,170,608,380,84,01_buttons/cta/btn_primary_normal.png
survival,main_quest_panel,24,760,672,190,07_panels/panel_main_quest.png
survival,action_search,24,976,212,130,01_buttons/function/btn_search_normal.png
survival,action_rest,254,976,212,130,01_buttons/function/btn_rest_normal.png
survival,action_leave,484,976,212,130,01_buttons/function/btn_leave_normal.png
survival,bottom_nav,0,1139,720,141,
explore,title_bar,0,0,720,91,
explore,map_background,0,92,720,505,
explore,node_hospital,292,123,160,176,02_map_nodes/node_hospital_selected.png
explore,node_supermarket,86,271,146,170,02_map_nodes/node_supermarket_normal.png
explore,node_subway,490,271,148,170,02_map_nodes/node_subway_danger.png
explore,node_safehouse,292,430,158,176,02_map_nodes/node_safehouse_normal.png
explore,node_unknown,516,432,142,174,02_map_nodes/node_unknown_locked.png
explore,location_detail_panel,24,602,672,505,
explore,go_button,110,1014,500,92,01_buttons/cta/btn_primary_normal.png
explore,bottom_nav,0,1139,720,141,
formation,title_bar,0,0,720,92,
formation,power_row,0,91,720,70,
formation,character_chen_mo,12,160,138,360,
formation,character_lin_mei,150,160,138,360,
formation,character_lao_zhou,288,160,138,360,
formation,character_chen_feng,426,160,138,360,
formation,character_su_xiao,564,160,144,360,
formation,formation_panel,24,540,362,492,07_panels/panel_formation.png
formation,team_rating_panel,398,540,298,492,07_panels/panel_team_rating.png
formation,adjust_team_button,24,1054,218,78,01_buttons/function/btn_adjust_team_normal.png
formation,equipment_button,252,1054,216,78,01_buttons/function/btn_equipment_normal.png
formation,skill_button,478,1054,218,78,01_buttons/function/btn_skill_normal.png
formation,bottom_nav,0,1139,720,141,
base,title_area,0,0,720,275,
base,upgrade_button,517,180,172,64,
base,resource_panel,22,276,676,104,07_panels/panel_resource.png
base,facility_workbench,24,410,326,244,13_dedicated/facilities/facility_workbench.png
base,facility_storage,370,410,326,244,13_dedicated/facilities/facility_storage.png
base,facility_bed,24,672,326,244,13_dedicated/facilities/facility_bed.png
base,facility_medical,370,672,326,244,13_dedicated/facilities/facility_medical_station.png
base,facility_kitchen,24,934,326,244,13_dedicated/facilities/facility_kitchen.png
base,facility_generator,370,934,326,244,13_dedicated/facilities/facility_generator.png
base,bottom_nav,0,1139,720,141,
reincarnation,title_bar,0,0,720,88,
reincarnation,current_cycle_panel,35,88,330,184,
reincarnation,highest_chapter_panel,35,280,650,112,
reincarnation,truth_progress_panel,35,400,650,142,
reincarnation,marks_panel,35,552,650,107,
reincarnation,talent_panel,35,671,650,126,
reincarnation,boss_info_panel,35,810,650,146,07_panels/panel_boss.png
reincarnation,reward_panel,35,970,650,104,
reincarnation,reincarnate_button,79,1083,562,86,01_buttons/cta/btn_danger_normal.png
reincarnation,bottom_nav,0,1160,720,120,
