file,status,details
01_screen_adaptive/frame_screen_corner_tl.png,PASS,"bbox=(0, 0, 50, 50); margins=(0, 0, 0, 0)"
01_screen_adaptive/frame_screen_corner_tr.png,PASS,"bbox=(0, 0, 50, 50); margins=(0, 0, 0, 0)"
01_screen_adaptive/frame_screen_corner_bl.png,PASS,"bbox=(0, 0, 50, 50); margins=(0, 0, 0, 0)"
01_screen_adaptive/frame_screen_corner_br.png,PASS,"bbox=(0, 0, 50, 50); margins=(0, 0, 0, 0)"
01_screen_adaptive/frame_screen_edge_top.png,PASS,"bbox=(0, 0, 620, 13); margins=(0, 0, 0, 0)"
01_screen_adaptive/frame_screen_edge_bottom.png,PASS,"bbox=(0, 0, 620, 13); margins=(0, 0, 0, 0)"
01_screen_adaptive/frame_screen_edge_left.png,PASS,"bbox=(0, 0, 13, 1180); margins=(0, 0, 0, 0)"
01_screen_adaptive/frame_screen_edge_right.png,PASS,"bbox=(0, 0, 13, 1180); margins=(0, 0, 0, 0)"
01_screen_adaptive/bg_page_tile.png,PASS,"bbox=(0, 0, 64, 64); margins=(0, 0, 0, 0)"
02_top_status/top_date_bar.png,PASS,"bbox=(0, 0, 684, 59); margins=(0, 0, 0, 0)"
02_top_status/top_player_status_bar.png,PASS,"bbox=(0, 0, 684, 78); margins=(0, 0, 0, 0)"
03_scene_panel/panel_scene_9patch.png,PASS,"bbox=(4, 4, 681, 599); margins=(4, 4, 3, 3)"
04_main_quest/panel_main_quest.png,PASS,"bbox=(4, 4, 681, 183); margins=(4, 4, 3, 3)"
05_primary_buttons/btn_continue_normal.png,PASS,"bbox=(82, 5, 431, 108); margins=(82, 5, 81, 4)"
05_primary_buttons/btn_continue_selected.png,PASS,"bbox=(51, 5, 462, 108); margins=(51, 5, 50, 4)"
05_primary_buttons/btn_continue_pressed.png,PASS,"bbox=(51, 5, 462, 108); margins=(51, 5, 50, 4)"
05_primary_buttons/btn_continue_disabled.png,PASS,"bbox=(82, 5, 430, 106); margins=(82, 5, 82, 6)"
06_action_buttons/btn_search_normal.png,PASS,"bbox=(8, 6, 220, 135); margins=(8, 6, 8, 5)"
06_action_buttons/btn_search_selected.png,PASS,"bbox=(3, 1, 225, 140); margins=(3, 1, 3, 0)"
06_action_buttons/btn_search_pressed.png,PASS,"bbox=(3, 1, 225, 140); margins=(3, 1, 3, 0)"
06_action_buttons/btn_search_disabled.png,PASS,"bbox=(8, 6, 220, 135); margins=(8, 6, 8, 5)"
06_action_buttons/btn_rest_normal.png,PASS,"bbox=(8, 6, 220, 135); margins=(8, 6, 8, 5)"
06_action_buttons/btn_rest_selected.png,PASS,"bbox=(3, 1, 225, 140); margins=(3, 1, 3, 0)"
06_action_buttons/btn_rest_pressed.png,PASS,"bbox=(3, 1, 225, 140); margins=(3, 1, 3, 0)"
06_action_buttons/btn_rest_disabled.png,PASS,"bbox=(8, 6, 220, 135); margins=(8, 6, 8, 5)"
06_action_buttons/btn_leave_normal.png,PASS,"bbox=(8, 6, 220, 135); margins=(8, 6, 8, 5)"
06_action_buttons/btn_leave_selected.png,PASS,"bbox=(3, 1, 225, 140); margins=(3, 1, 3, 0)"
06_action_buttons/btn_leave_pressed.png,PASS,"bbox=(3, 1, 225, 140); margins=(3, 1, 3, 0)"
06_action_buttons/btn_leave_disabled.png,PASS,"bbox=(8, 6, 220, 135); margins=(8, 6, 8, 5)"
07_bottom_nav/nav_bar.png,PASS,"bbox=(3, 3, 682, 144); margins=(3, 3, 2, 2)"
07_bottom_nav/nav_survival_normal.png,PASS,"bbox=(10, 2, 133, 126); margins=(10, 2, 11, 2)"
07_bottom_nav/nav_survival_selected.png,PASS,"bbox=(10, 2, 133, 126); margins=(10, 2, 11, 2)"
07_bottom_nav/nav_survival_pressed.png,PASS,"bbox=(10, 2, 133, 126); margins=(10, 2, 11, 2)"
07_bottom_nav/nav_survival_disabled.png,PASS,"bbox=(10, 2, 133, 125); margins=(10, 2, 11, 3)"
07_bottom_nav/nav_explore_normal.png,PASS,"bbox=(11, 3, 133, 126); margins=(11, 3, 11, 2)"
07_bottom_nav/nav_explore_selected.png,PASS,"bbox=(4, 0, 140, 128); margins=(4, 0, 4, 0)"
07_bottom_nav/nav_explore_pressed.png,PASS,"bbox=(4, 0, 140, 128); margins=(4, 0, 4, 0)"
07_bottom_nav/nav_explore_disabled.png,PASS,"bbox=(11, 3, 133, 126); margins=(11, 3, 11, 2)"
07_bottom_nav/nav_team_normal.png,PASS,"bbox=(12, 3, 132, 126); margins=(12, 3, 12, 2)"
07_bottom_nav/nav_team_selected.png,PASS,"bbox=(5, 0, 139, 128); margins=(5, 0, 5, 0)"
07_bottom_nav/nav_team_pressed.png,PASS,"bbox=(5, 0, 139, 128); margins=(5, 0, 5, 0)"
07_bottom_nav/nav_team_disabled.png,PASS,"bbox=(12, 3, 132, 126); margins=(12, 3, 12, 2)"
07_bottom_nav/nav_base_normal.png,PASS,"bbox=(12, 3, 133, 126); margins=(12, 3, 11, 2)"
07_bottom_nav/nav_base_selected.png,PASS,"bbox=(5, 0, 140, 128); margins=(5, 0, 4, 0)"
07_bottom_nav/nav_base_pressed.png,PASS,"bbox=(5, 0, 140, 128); margins=(5, 0, 4, 0)"
07_bottom_nav/nav_base_disabled.png,PASS,"bbox=(12, 3, 133, 126); margins=(12, 3, 11, 2)"
07_bottom_nav/nav_reincarnation_normal.png,PASS,"bbox=(10, 2, 134, 126); margins=(10, 2, 10, 2)"
07_bottom_nav/nav_reincarnation_selected.png,PASS,"bbox=(5, 0, 140, 128); margins=(5, 0, 4, 0)"
07_bottom_nav/nav_reincarnation_pressed.png,PASS,"bbox=(5, 0, 140, 128); margins=(5, 0, 4, 0)"
