slot_id,region,x,y,width,height,anchor,content_type,visibility,data_binding
header.battle_title,title_status_bar,40,18,240,30,left_center,runtime_text,always,battle.title
header.round,title_status_bar,300,18,92,30,center,runtime_text,always,battle.round
header.current_actor,title_status_bar,398,18,158,30,left_center,runtime_text,always,battle.current_actor.display_name
header.auto_state,title_status_bar,568,18,52,30,center,runtime_text,always,battle.auto_state
header.speed_state,title_status_bar,624,18,48,30,center,runtime_text,always,battle.speed_state
header.battle_state,title_status_bar,676,18,32,30,center,runtime_text,always,battle.state
enemy.row_0_label,formation_battlefield,34,150,96,30,right_center,runtime_text,always,formation.enemy.display_row_label.0
enemy.row_1_label,formation_battlefield,34,220,96,30,right_center,runtime_text,always,formation.enemy.display_row_label.1
enemy.row_2_label,formation_battlefield,34,290,96,30,right_center,runtime_text,always,formation.enemy.display_row_label.2
player.row_0_label,formation_battlefield,34,424,96,30,right_center,runtime_text,always,formation.player.display_row_label.0
player.row_1_label,formation_battlefield,34,494,96,30,right_center,runtime_text,always,formation.player.display_row_label.1
player.row_2_label,formation_battlefield,34,564,96,30,right_center,runtime_text,always,formation.player.display_row_label.2
enemy.cell_r0c0,enemy_matrix_3x3_mirrored,150,132,140,70,center,runtime_container,conditional,formation.enemy.display_cell.0.0
enemy.cell_r0c1,enemy_matrix_3x3_mirrored,290,132,140,70,center,runtime_container,conditional,formation.enemy.display_cell.0.1
enemy.cell_r0c2,enemy_matrix_3x3_mirrored,430,132,140,70,center,runtime_container,conditional,formation.enemy.display_cell.0.2
enemy.cell_r1c0,enemy_matrix_3x3_mirrored,150,202,140,70,center,runtime_container,conditional,formation.enemy.display_cell.1.0
enemy.cell_r1c1,enemy_matrix_3x3_mirrored,290,202,140,70,center,runtime_container,conditional,formation.enemy.display_cell.1.1
enemy.cell_r1c2,enemy_matrix_3x3_mirrored,430,202,140,70,center,runtime_container,conditional,formation.enemy.display_cell.1.2
enemy.cell_r2c0,enemy_matrix_3x3_mirrored,150,272,140,70,center,runtime_container,conditional,formation.enemy.display_cell.2.0
enemy.cell_r2c1,enemy_matrix_3x3_mirrored,290,272,140,70,center,runtime_container,conditional,formation.enemy.display_cell.2.1
enemy.cell_r2c2,enemy_matrix_3x3_mirrored,430,272,140,70,center,runtime_container,conditional,formation.enemy.display_cell.2.2
player.cell_r0c0,player_matrix_3x3,150,406,140,70,center,runtime_container,conditional,formation.player.display_cell.0.0
player.cell_r0c1,player_matrix_3x3,290,406,140,70,center,runtime_container,conditional,formation.player.display_cell.0.1
player.cell_r0c2,player_matrix_3x3,430,406,140,70,center,runtime_container,conditional,formation.player.display_cell.0.2
player.cell_r1c0,player_matrix_3x3,150,476,140,70,center,runtime_container,conditional,formation.player.display_cell.1.0
player.cell_r1c1,player_matrix_3x3,290,476,140,70,center,runtime_container,conditional,formation.player.display_cell.1.1
player.cell_r1c2,player_matrix_3x3,430,476,140,70,center,runtime_container,conditional,formation.player.display_cell.1.2
player.cell_r2c0,player_matrix_3x3,150,546,140,70,center,runtime_container,conditional,formation.player.display_cell.2.0
player.cell_r2c1,player_matrix_3x3,290,546,140,70,center,runtime_container,conditional,formation.player.display_cell.2.1
player.cell_r2c2,player_matrix_3x3,430,546,140,70,center,runtime_container,conditional,formation.player.display_cell.2.2
turn_order.title,turn_order_strip,44,692,90,30,left_center,runtime_text,always,battle.turn_order.title
turn_order.item_0,turn_order_strip,150,682,74,52,center,runtime_container,conditional,battle.turn_order.0
turn_order.item_1,turn_order_strip,234,682,74,52,center,runtime_container,conditional,battle.turn_order.1
turn_order.item_2,turn_order_strip,318,682,74,52,center,runtime_container,conditional,battle.turn_order.2
turn_order.item_3,turn_order_strip,402,682,74,52,center,runtime_container,conditional,battle.turn_order.3
turn_order.item_4,turn_order_strip,486,682,74,52,center,runtime_container,conditional,battle.turn_order.4
turn_order.reason,turn_order_strip,570,692,110,30,right_center,runtime_text,conditional,battle.current_actor_reason
actor_summary.name,current_actor_skill_panel,42,770,154,30,left_center,runtime_text,always,battle.current_actor.display_name
actor_summary.state,current_actor_skill_panel,42,802,154,24,left_center,runtime_text,conditional,battle.current_actor.state_summary
action_slot_0.label,current_actor_skill_panel,34,792,124,26,center,runtime_text,always,battle.actions.0.label
action_slot_0.cooldown,current_actor_skill_panel,34,826,124,18,center,runtime_text,conditional,battle.actions.0.cooldown
action_slot_1.label,current_actor_skill_panel,166,792,124,26,center,runtime_text,always,battle.actions.1.label
action_slot_1.cooldown,current_actor_skill_panel,166,826,124,18,center,runtime_text,conditional,battle.actions.1.cooldown
action_slot_2.label,current_actor_skill_panel,298,792,124,26,center,runtime_text,always,battle.actions.2.label
action_slot_2.cooldown,current_actor_skill_panel,298,826,124,18,center,runtime_text,conditional,battle.actions.2.cooldown
action_slot_3.label,current_actor_skill_panel,430,792,124,26,center,runtime_text,always,battle.actions.3.label
action_slot_3.cooldown,current_actor_skill_panel,430,826,124,18,center,runtime_text,conditional,battle.actions.3.cooldown
action_slot_4.label,current_actor_skill_panel,562,792,124,26,center,runtime_text,always,battle.actions.4.label
action_slot_4.cooldown,current_actor_skill_panel,562,826,124,18,center,runtime_text,conditional,battle.actions.4.cooldown
battle_log.title,battle_log,44,964,130,28,left_center,runtime_text,always,battle.log.title
battle_log.entries,battle_log,44,1000,632,176,top_left,runtime_scroll_content,always,battle.log.entries
